Test ID,Test Suite,Test Name,Description,Pre-conditions,Test Steps,Input Data,Expected Result,Expected Status,Priority
TC-001,Scheduler Flow,Nightly Sync Happy Path,Verifies the entire nightly synchronization process triggers and runs successfully end-to-end. ,"Scheduler is active; Rainbow API is online; Salesforce API is online","1. Nightly cron trigger fires | 2. Deletes stale records in Salesforce | 3. Fetches registrations from Rainbow | 4. Fetches owners and business partners | 5. Maps to flat landowners | 6. Upserts to Salesforce | 7. Logs sync completion summary",cron=0 0 2 * * ?;Salesforce.batchSize=200,All current landowners are synchronized to Salesforce LandOwner__c and stale records are purged.,N/A,High
TC-002,Purging,Stale Records Found and Deleted,Verifies that landowner records that have expired (ToDate__c is in the past) and have no manually assigned lawyer are deleted.,"Salesforce contains LandOwner__c records with ToDate__c < TODAY and Lawyer__c = null","1. Query Salesforce for expired records without lawyer | 2. Stale records are returned | 3. Call Salesforce Delete on stale IDs | 4. Log count of deleted records",ToDate__c=2026-05-01;Lawyer__c=null,Stale records are successfully deleted from Salesforce and count logged.,N/A,High
TC-003,Purging,Stale Records Skipped (With Lawyer),Verifies that expired landowner records that have a manually assigned lawyer are preserved.,"Salesforce contains LandOwner__c records with ToDate__c < TODAY and Lawyer__c != null","1. Query Salesforce for expired records without lawyer | 2. Expired records with lawyer are excluded from results | 3. Salesforce Delete is not called for these IDs",ToDate__c=2026-05-01;Lawyer__c=0034a00000ab123,Records with a Lawyer__c lookup filled are not deleted from Salesforce.,N/A,Medium
TC-004,Purging,No Stale Records Found,Verifies that the purge sub-flow completes gracefully without invoking delete if no stale records exist.,"Salesforce contains no LandOwner__c records with ToDate__c < TODAY and Lawyer__c = null","1. Query Salesforce for expired records without lawyer | 2. Query returns empty list | 3. Skip Delete invocation | 4. Set deleteCount to 0 and log",ToDate__c=2026-07-01;Lawyer__c=null,The sub-flow skips delete invocation and logs 0 deleted records.,N/A,Medium
TC-005,OData Fetch,Fetch Registrations Single Page,Verifies that registrations are successfully fetched from Rainbow when all records fit on a single page.,"Rainbow OData API is active and returns one page of registrations","1. Send GET to /registrations with filter | 2. Receive HTTP 200 payload | 3. Map value array to registrations list | 4. Verify properties are mapped correctly",method=GET;path=/registrations;isCurrentRegistration=true,A single page of registrations is successfully fetched and mapped.,200,High
TC-006,OData Fetch,Fetch Registrations Paged,Verifies that registrations are successfully fetched and merged when multiple pages exist via nextLink.,"Rainbow OData API returns a nextLink page header","1. Send GET to /registrations | 2. Receive page with @odata.nextLink | 3. Request next path page | 4. Repeat until nextLink is null | 5. Concat and map all values",method=GET;path=/registrations;isCurrentRegistration=true,All pages are traversed and merged into a single registrations array.,200,High
TC-007,OData Fetch,Fetch Registrations Connectivity Retry,Verifies that Rainbow API connection timeouts/connectivity failures trigger retries before failing.,"Rainbow API is temporarily unresponsive","1. Send GET to /registrations | 2. Request fails with timeout | 3. Wait 2 seconds | 4. Retry request | 5. Succeed on retry | 6. Process output",method=GET;path=/registrations;retries=3,The HTTP client retries and successfully retrieves registrations after transient error.,200,Medium
TC-008,OData Fetch,Fetch Owners Happy Path,Verifies that owners are successfully fetched for a given property registration.,"Rainbow OData API is active; vars.reg contains a valid registrationKey","1. Send GET to /owners with registrationKey filter | 2. Receive HTTP 200 payload | 3. Store owners array in variable",method=GET;path=/owners;registrationKey=818,Owners list is retrieved and saved in variable.,200,High
TC-009,OData Fetch,Fetch Owners Swallowed Error,Verifies that if fetching owners fails with a network error the system logs the failure and continues without crashing.,"Rainbow API returns a timeout error","1. Send GET to /owners | 2. Request fails | 3. Swallowed by On Error Continue | 4. Log warning | 5. Set vars.owners to empty array | 6. Continue loop",method=GET;path=/owners;registrationKey=818,The failure is logged and the sync process continues to next registration.,N/A,High
TC-010,OData Fetch,Fetch Business Partner Happy Path,Verifies that business partner details are successfully fetched for an owner.,"Rainbow Operation API is active","1. Send GET to /businessPartners with partner ID filter | 2. Receive BP payload | 3. Save details in businessPartners map",method=GET;path=/businessPartners;id=11,Partner details (ID number, name, address) are successfully cached.,200,High
TC-011,OData Fetch,Fetch Business Partner Swallowed Error,Verifies that if fetching a business partner fails, the landowner is still mapped using whatever details exist.,"Rainbow Operation API returns 500 error","1. Send GET to /businessPartners | 2. Request fails | 3. On Error Continue catches error | 4. Add empty object to BP map | 5. Continue processing owner",method=GET;path=/businessPartners;id=11,The failure is logged and landowner is built using available owner fields.,N/A,Medium
TC-012,Mapping,Build LandOwner with Building Lookup,Verifies mapping registration + owner + business partner to a flat record with a Building Lookup relationship.,"Input data contains valid buildingCode","1. Execute build-landowner DataWeave | 2. Execute add-building-lookup DataWeave | 3. Verify Building__r lookup is added",buildingCode=7976;projectCode=PRJ-1024;name=S&B,Output record has Project__r and Building__r relationship objects attached.,N/A,High
TC-013,Mapping,Build LandOwner without Building Lookup,Verifies mapping registration + owner + business partner when buildingCode is null is project-level only.,"Input data contains null buildingCode","1. Execute build-landowner DataWeave | 2. Execute add-building-lookup DataWeave | 3. Verify BuildingCode__c key is stripped",buildingCode=null;projectCode=PRJ-1024;name=S&B,Output record has Project__r but no Building__r or BuildingCode__c fields.,N/A,High
TC-014,Salesforce Upsert,Upsert Batch Happy Path,Verifies bulk upserting flat landowner records to Salesforce in chunks of 200.,"landownerBatch contains 202 flat records; Salesforce API is active","1. Chunk batch into two parts (200 + 2) | 2. Call upsert on LandOwner__c using External_Key__c | 3. Success returned for all records | 4. Set upsertCount to 202",Salesforce.batchSize=200;records=202,All records are successfully upserted to Salesforce.,N/A,High
TC-015,Salesforce Upsert,Upsert Batch Item Failure,Verifies that individual record failures are logged and do not abort the entire batch upsert.,"landownerBatch contains records; Salesforce returns partial success (one record fails validation)","1. Call upsert on LandOwner__c | 2. Salesforce returns success=true for first record, success=false for second | 3. Log external ID of failing record | 4. Increment failedCount",records=2;failures=1,Successful records are saved and failures are logged with external keys.,N/A,High
TC-016,Salesforce Upsert,Upsert Batch Connectivity Error,Verifies that Salesforce connection failures abort the scheduler run completely.,"Salesforce API connection is broken","1. Call upsert on LandOwner__c | 2. Connection timeout error thrown | 3. Caught by global-error-handler | 4. Log FATAL message | 5. Abort run",records=200,The run is terminated and a critical error is logged for admin alerts.,N/A,High
TC-017,Health Check,Operational GET Health,Verifies that the HTTP GET /health endpoint returns 200 OK for operational status monitoring.,"Mule application is running","1. Send HTTP GET request to /health | 2. Receive HTTP response",port=8081;path=/health,Response returns HTTP 200 status code with "OK" body.,200,High
